stitle,xpostDate,xbody,xcreatedDate,xAddress,GTag_longitude,GTag_latitude
垃圾清運點：臺北市大同區迪化街一段42號,2011/5/23 上午 10:03:00,車號：90-930，車次：第1車，時間：16:20~16:23,2012/3/1 上午 06:36:00,臺北市大同區迪化街一段42號,121.509978,25.054875
垃圾清運點：臺北市大同區重慶北路二段64巷口,2011/5/23 上午 10:04:00,車號：90-930，車次：第1車，時間：16:52~16:56,2012/3/1 上午 06:36:00,臺北市大同區重慶北路二段64巷口,121.512816,25.055687
垃圾清運點：臺北市大同區承德路三段85巷口,2010/11/8 下午 06:23:00,車號：92-957，車次：第1車，時間：17:06~17:09,2012/3/1 上午 06:36:00,臺北市大同區承德路三段85巷口,121.518449,25.066082
垃圾清運點：臺北市大同區承德路三段247巷口,2010/12/3 上午 11:34:00,車號：92-957，車次：第2車，時間：19:48~19:50,2012/3/1 上午 06:36:00,臺北市大同區承德路三段247巷口,121.51862,25.07114
垃圾清運點：臺北市大同區酒泉街10巷口圓山捷運站,2010/11/8 下午 06:23:00,車號：92-957，車次：第3車，時間：21:40~21:44,2012/3/1 上午 06:36:00,臺北市大同區酒泉街10巷口圓山捷運站,121.519782,25.070199
垃圾清運點：臺北市大同區民族西路、迪化街二段220號,2011/7/28 下午 05:43:00,車號：95-013，車次：第1車，時間：17:06~17:10,2012/3/1 上午 06:36:00,臺北市大同區民族西路、迪化街二段220號,121.5108424,25.068669
垃圾清運點：臺北市大同區重慶北路三段310號,2011/5/23 下午 01:59:00,車號：95-013，車次：第2車，時間：19:35~19:36,2012/3/1 上午 06:36:00,臺北市大同區重慶北路三段310號,121.513573,25.073954
垃圾清運點：臺北市大同區重慶北路三段152巷口,2011/5/23 下午 02:00:00,車號：95-013，車次：第2車，時間：19:57~20:00,2012/3/1 上午 06:36:00,臺北市大同區重慶北路三段152巷口,121.513686,25.068174
垃圾清運點：臺北市大同區昌吉街、迪化街口,2011/7/28 下午 05:44:00,車號：98-011，車次：第2車，時間：19:26~19:30,2012/3/1 上午 06:36:00,臺北市大同區昌吉街、迪化街口,121.509419,25.065776
垃圾清運點：臺北市大同區延平北路四段231號,2011/5/23 上午 11:46:00,車號：98-011，車次：第2車，時間：20:05~20:06,2012/3/1 上午 06:36:00,臺北市大同區延平北路四段231號,121.511936,25.075548
